Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
85	0.55864	0.4965495	1.0	0.0	1.0	0.5422165	0.8869268	1.9963768	-0.00735919	2150000	-0.10511686	1.0190411e-06	-0.0010376349	-1.433412e-07	2.1290243	1.1965619	0.6396	0.0	21948.948570251465
86	0.57768	0.49392897	1.0	0.0	1.0	0.5674895	0.8992949	1.9953934	-0.0072272476	2175000	-0.1013018	8.606641e-07	-0.0008442104	-1.0482967e-07	2.0568385	1.2119176	0.6062	0.0	22211.429663181305
87	0.56944	0.49515462	1.0	0.0	1.0	0.5593285	0.8953124	1.9960067	-0.007349233	2200000	-0.10262657	8.2330985e-07	-0.0006399527	-1.04534536e-07	2.1373742	1.2777641	0.62976	0.0	22472.24281668663
88	0.55608	0.49684504	1.0	0.0	1.0	0.5443072	0.88790536	1.9971642	-0.0070225606	2225000	-0.10458378	8.1662296e-07	-0.00073661655	-1.00122804e-07	2.2579634	1.3898828	0.63928	0.0	22721.703176259995
89	0.56636	0.49557677	1.0	0.0	1.0	0.55392164	0.8925713	1.9971213	-0.0062567666	2250000	-0.09662441	7.549408e-07	-0.0007552281	-9.21454e-08	2.2480955	1.4368256	0.62316	0.0	22990.646048784256
90	0.56752	0.49542007	1.0	0.0	1.0	0.5549589	0.8933296	1.9958482	-0.0064033587	2275000	-0.10057368	6.9885135e-07	-0.0004454404	-7.9996425e-08	2.2937818	1.5172663	0.61544	0.0	23282.0488653183
91	0.58128	0.49334928	1.0	0.0	1.0	0.56765985	0.8993835	1.9950833	-0.00623494	2300000	-0.097820856	6.476799e-07	-0.0004613325	-2.1523533e-08	2.2777157	1.5241383	0.59988	0.0	23546.562845230103
92	0.56296	0.49602026	1.0	0.0	1.0	0.55027175	0.891064	1.9943889	-0.0067335516	2325000	-0.09779615	6.649499e-07	-0.00040819496	-8.65665e-08	2.416579	1.6694485	0.61792	0.0	23815.092539548874
93	0.56692	0.4955015	1.0	0.0	1.0	0.5554276	0.8936993	1.9954529	-0.006081717	2350000	-0.09395805	6.1650206e-07	-0.0005658567	-5.8391834e-08	2.4442804	1.7226878	0.60332	0.0	24080.958894252777
94	0.5504	0.49745333	1.0	0.0	1.0	0.54136264	0.8864009	1.9958216	-0.006292766	2375000	-0.10000682	5.866338e-07	-0.00029027462	-6.6773e-08	2.5668309	1.8480694	0.62132	0.0	24348.15462589264
95	0.56872	0.49525508	1.0	0.0	1.0	0.55527675	0.89338917	1.995062	-0.0065509314	2400000	-0.09873861	5.770421e-07	-0.0002020374	6.694751e-08	2.5125065	1.8046172	0.60648	0.0	24609.96204805374
96	0.56544	0.49569908	1.0	0.0	1.0	0.55472434	0.89328015	1.9955717	-0.006572306	2425000	-0.09002169	6.740357e-07	-0.00041283667	-1.5557907e-07	2.570699	1.8973354	0.60224	0.0	24855.33468580246
97	0.57696	0.49404162	1.0	0.0	1.0	0.5655556	0.8984649	1.9957943	-0.006546503	2450000	-0.09792658	5.936248e-07	-0.00020380318	-9.1211575e-08	2.560036	1.8908502	0.59532	0.0	25102.24855685234
98	0.59652	0.49059543	1.0	0.0	1.0	0.5840517	0.9069042	1.9946377	-0.0065104784	2475000	-0.097183906	5.050192e-07	-0.0002638176	-6.384889e-08	2.4805858	1.8363804	0.57432	0.0	25350.59995007515
99	0.58424	0.49285254	1.0	0.0	1.0	0.5754386	0.9028052	1.9946276	-0.005548835	2500000	-0.09878531	4.875039e-07	-0.00019209087	1.2978335e-05	2.593429	1.9502643	0.58748	0.0	25597.244161844254
100	0.56444	0.4958301	1.0	0.0	1.0	0.5514636	0.8911068	1.9913806	-0.008165113	2525000	-0.097631305	1.3011018e-05	-6.580353e-05	-1.2579471e-05	2.721241	2.084119	0.60008	0.0	26014.284244060516
101	0.5728	0.49467176	1.0	0.0	1.0	0.5586388	0.89492935	1.9950161	-0.0061677387	2550000	-0.09625917	4.779649e-07	-9.7453594e-05	1.17702314e-07	2.7006688	2.0638235	0.59144	0.0	26687.480078458786
102	0.56484	0.49577793	1.0	0.0	1.0	0.5544048	0.89260364	1.9942614	-0.0050546695	2575000	-0.09765934	6.4339815e-07	-5.532801e-05	7.2482335e-06	2.7680528	2.140625	0.59756	0.0	27228.43029499054
103	0.59724	0.49045327	1.0	0.0	1.0	0.58441883	0.9076298	1.9980816	-0.004984663	2600000	-0.09314308	8.235732e-06	-0.00010625273	-7.845558e-06	2.6206977	2.0261502	0.5612	0.0	27887.776871442795
104	0.59388	0.4911075	1.0	0.0	1.0	0.5817981	0.9058352	1.9947803	-0.004945971	2625000	-0.09003277	4.3698557e-07	-7.019937e-05	7.866223e-06	2.6567125	2.0836594	0.56284	0.0	28523.88493704796
105	0.59492	0.49090755	1.0	0.0	1.0	0.58007437	0.90468615	1.9912345	-0.0073723476	2650000	-0.09512195	8.322202e-06	-0.00010819733	-7.93207e-06	2.6755793	2.094788	0.56128	0.0	29249.203060388565
106	0.5818	0.4932634	1.0	0.0	1.0	0.5713915	0.90109813	1.9961666	-0.0049389703	2675000	-0.09793311	4.218974e-07	-4.3839216e-05	-8.1894086e-08	2.791653	2.1870236	0.58584	0.0	64525.377091407776
107	0.58044	0.49348697	1.0	0.0	1.0	0.5714922	0.9010313	1.9947145	-0.004999794	2700000	-0.097366154	3.7338435e-07	-5.00381e-05	-4.5417835e-08	2.804208	2.2095227	0.58504	0.0	64783.36005496979
108	0.5902	0.49179667	1.0	0.0	1.0	0.5783095	0.90426314	1.9950936	-0.005487467	2725000	-0.09537831	3.5397053e-07	-2.9928982e-05	8.02703e-09	2.7616806	2.1856198	0.56556	0.0	65030.02378201485
109	0.57208	0.49477717	1.0	0.0	1.0	0.5621041	0.89643985	1.9943761	-0.006029262	2750000	-0.09596524	4.059817e-07	-5.1170588e-05	-9.3589506e-08	2.8892531	2.3122394	0.585	0.0	65279.928723573685
110	0.59124	0.49160478	1.0	0.0	1.0	0.57944787	0.9047477	1.9943494	-0.0054028975	2775000	-0.09265404	3.5649296e-07	-2.9705465e-05	1.4456832e-06	2.788489	2.2135577	0.56868	0.0	65555.4013774395
111	0.58836	0.49213058	1.0	0.0	1.0	0.57569915	0.90258163	1.992358	-0.0057037193	2800000	-0.09546031	1.8537042e-06	-5.5782497e-05	0.00014702446	2.8079774	2.2435246	0.56756	0.0	65805.2880730629
112	0.5894	0.49194273	1.0	0.0	1.0	0.5834024	0.90853965	2.0095031	-0.0026674112	2825000	-0.095024884	0.00014796387	-6.851554e-05	-0.00014768292	2.807015	2.2551012	0.56784	0.0	66061.54408693314
113	0.60512	0.4888249	1.0	0.0	1.0	0.590489	0.90964377	1.9939348	-0.00533296	2850000	-0.06765738	3.1112137e-07	-0.002877742	-3.2602202e-08	2.7253375	2.2103722	0.5484	0.0	66316.45358514786
